NOM_TURNO,COLONIA,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION_INTRACURRICULAR,REPROBACION,REPROBACION_CON_REGULARIZADOS,EFICIENCIA_TERMINAL
MATUTINO,9452,ESTATAL,SECUNDARIA,GENERAL,0.0,0.0301,0.0164,1.0
VESPERTINO,9452,ESTATAL,SECUNDARIA,GENERAL,0.0882,0.1075,0.0323,1.0
VESPERTINO,9061,ESTATAL,SECUNDARIA,GENERAL,0.0,0.1111,0.0356,0.863
MATUTINO,9061,ESTATAL,SECUNDARIA,GENERAL,0.0358,0.0149,0.0037,0.9326
MATUTINO,9000,ESTATAL,SECUNDARIA,GENERAL,0.0,0.0318,0.0199,0.8511
VESPERTINO,9000,ESTATAL,SECUNDARIA,GENERAL,0.0356,0.1187,0.0528,0.7711
MATUTINO,9264,ESTATAL,SECUNDARIA,GENERAL,0.0249,0.034,0.0213,0.8564
VESPERTINO,9264,ESTATAL,SECUNDARIA,GENERAL,0.1086,0.1756,0.1147,0.5644
MATUTINO,9443,ESTATAL,SECUNDARIA,GENERAL,0.0383,0.1143,0.0597,0.8625
VESPERTINO,9443,ESTATAL,SECUNDARIA,GENERAL,0.0696,0.2682,0.1475,0.6778
VESPERTINO,9352,ESTATAL,SECUNDARIA,GENERAL,0.0712,0.1392,0.0881,0.705
MATUTINO,9352,ESTATAL,SECUNDARIA,GENERAL,0.0254,0.0711,0.0166,0.8392
VESPERTINO,9063,ESTATAL,SECUNDARIA,GENERAL,0.0381,0.055999999999999994,0.0164,0.773
MATUTINO,9063,ESTATAL,SECUNDARIA,GENERAL,0.0279,0.0227,0.0132,0.8652
MATUTINO,9083,ESTATAL,SECUNDARIA,GENERAL,0.0139,0.067,0.0517,0.8807
VESPERTINO,9083,ESTATAL,SECUNDARIA,GENERAL,0.0359,0.0905,0.0559,0.7143
MATUTINO,9025,ESTATAL,SECUNDARIA,GENERAL,0.0144,0.0,0.0,0.9275
VESPERTINO,9025,ESTATAL,SECUNDARIA,GENERAL,0.0619,0.0,0.0,0.8168
MATUTINO,9363,ESTATAL,SECUNDARIA,GENERAL,0.0035,0.0634,0.0458,0.8659
VESPERTINO,9363,ESTATAL,SECUNDARIA,GENERAL,0.0661,0.2168,0.146,0.9355
MATUTINO,9376,ESTATAL,SECUNDARIA,GENERAL,0.0395,0.1408,0.0712,0.8703
VESPERTINO,9376,ESTATAL,SECUNDARIA,GENERAL,0.1142,0.2079,0.1495,0.7090000000000001
MATUTINO,9334,ESTATAL,SECUNDARIA,GENERAL,0.0433,0.0075,0.0075,0.7676
VESPERTINO,9334,ESTATAL,SECUNDARIA,GENERAL,0.0517,0.0381,0.0136,0.8255
MATUTINO,9348,ESTATAL,SECUNDARIA,GENERAL,0.0176,0.172,0.0896,0.8523
VESPERTINO,9348,ESTATAL,SECUNDARIA,GENERAL,0.0,0.1831,0.1338,1.0
